measure,dateTime,date,value,completeness,quality
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-15T9::,15/04/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-16T9::,16/04/2002,5,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-17T9::,17/04/2002,17,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-18T9::,18/04/2002,16,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-19T9::,19/04/2002,23,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-2T9::,02/04/2002,7,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-21T9::,21/04/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-22T9::,22/04/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-23T9::,23/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-24T9::,24/04/2002,17,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-25T9::,25/04/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-26T9::,26/04/2002,6,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-27T9::,27/04/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-28T9::,28/04/2002,4,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-29T9::,29/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-4-3T9::,03/04/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-1T9::,01/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-2T9::,02/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-3T9::,03/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-4T9::,04/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-5T9::,05/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-6T9::,06/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-7T9::,07/05/2002,5,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-8T9::,08/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-9T9::,09/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-1T9::,01/05/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-11T9::,11/05/2002,2,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-12T9::,12/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-13T9::,13/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-14T9::,14/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-15T9::,15/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-16T9::,16/05/2002,2,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-17T9::,17/05/2002,3,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-18T9::,18/05/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-19T9::,19/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-2T9::,02/05/2002,8,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-21T9::,21/05/2002,,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-22T9::,22/05/2002,3,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-23T9::,23/05/2002,3,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-24T9::,24/05/2002,4,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-25T9::,25/05/2002,5,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-26T9::,26/05/2002,7,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-27T9::,27/05/2002,15,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-28T9::,28/05/2002,1,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-29T9::,29/05/2002,3,Complete,Suspect
http://environment.data.gov.uk/hydrology/id/measures/315fef3-ecc3-4ad-a35-7bab91dd16f-rainfall-t-864-mm-qualified,2-5-3T9::,03/05/2002,2,Complete,Suspect
