Easting,Northing,Site_ID,Stdy_Start,Stdy_Fin,Site_selection,Stdy_Method,Erosion_Rate,Pathway,Reference,Link,longitude,latitude
312500,522500,866,,1999,3,Volumetric survey,0.0,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-3.355606590210154,54.59008668749574
327500,532500,867,,1999,3,Volumetric survey,8.85,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-3.126011945785944,54.6823135699495
372500,532500,868,,1999,3,Volumetric survey,2393.696,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-2.4280900639425673,54.68679023595339
402500,547500,869,,1999,3,Volumetric survey,0.0,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-1.962616179913384,54.82233932298221
462500,502500,870,,1999,3,Volumetric survey,2.352,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-1.0384602958736528,54.414117579436486
477500,502500,871,,1999,3,Volumetric survey,0.0,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-0.8073791160424679,54.41205734490753
372500,457500,872,,1999,3,Volumetric survey,67.803,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-2.421137357684134,54.012774371698846
372500,472500,873,,1999,3,Volumetric survey,0.294,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-2.4225051298204487,54.14758366015276
387500,402500,874,,1999,3,Volumetric survey,0.0,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-2.1899931554420244,53.519021356507935
387500,472500,875,,1999,3,Volumetric survey,594.816,,McHugh et al. (2014) pers. comms. & SSLRC (2000) MAFF SP0403 Research on the quantification and causes of upland erosion. Cranfield University,http://randd.defra.gov.uk/Default.aspx?Menu=Menu&Module=More&Location=None&Completed=0&ProjectID=6503,-2.192865992595028,54.14817094426779
